Name,Order mean,Order deviation,Duration mean (ms),Duration deviation,User CPU % mean,User CPU % deviation,System CPU % mean,System CPU % deviation,Committed heap (B) mean,Committed heap deviation,Used heap (B) mean,Used heap deviation,Used heap ratio mean,Used heap ratio deviation,Classes loaded mean,Classes loaded deviation,Methods compiled mean,Methods compiled deviation,File read duration (ms) mean,File read deviation,File write duration (ms) mean,File write deviation,Socket read duration (ms) mean,Socket read deviation,Socket write duration(ms) mean,Socket write deviation,Avg active thread mean,Avg active count deviation,Avg active daemon mean,Avg active daemon deviation,Thread sleep mean,Thread sleep deviation,GC count,GC count deviation,GC pause time,GC pause time deviation,GC % test time,GC % deviation
org.apache.commons.imaging.formats.ico.IcoRoundtripTest,75.2,46.88196206801652,16,6,18.16039827466011,4.9827359293533915,0.9796943449182436,0.40655749698313925,210952519,160878824,88641765,69275013,0.4085910476246832,0.10901476865631426,2.24,2.133885982838609,0.0,0.0,2806078,2592598,459535,416686,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.30304576336566297,0,0,0.13333333333333333,0.9428090415820641
org.apache.commons.imaging.formats.jpeg.exif.TextFieldTest,84.2,49.59797560055722,18,21,17.997612863779068,6.923258482114521,1.0511381798423827,0.42105054211448606,199502069,158720167,80772602,70355983,0.38244929260574373,0.11687534524172627,0.62,0.7253429871306344,0.0,0.0,2524244,2914204,167448,182974,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.12,0.32826072265931605,0,6,1.2025510204081633,6.375968170922598
org.apache.commons.imaging.formats.jpeg.xmp.JpegXmpRewriteTest,89.2,52.19038929433155,19,6,17.010478615760803,4.554777079622812,0.8615473593818024,0.23898622669035594,205992755,195783323,87552059,99418429,0.37641867121425504,0.10694168414293037,0.32,0.5126959555693247,0.02,0.14142135623730942,4310923,5181187,109576,118793,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.78,1.1301074538037779,0,0,0.05,0.3535533905932741
org.apache.commons.imaging.formats.webp.WebPDumpTest,90.8,46.61128881395535,19,4,18.1073911562562,5.330131542476028,0.9020651177270338,0.3039197303814729,226450472,217597653,88330867,83201436,0.3830717996374171,0.1185633504251484,0.8,0.9897433186107872,0.0,0.0,6245640,7082203,190407,208712,0,0,0,0,0.22,1.5556349186104046,0.2,1.4142135623730971,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.imaging.formats.bmp.BmpReadTest,103.5,38.542978925996316,20,5,21.107281126081944,6.501796602531248,1.1014823217410594,0.4512635009362834,240627220,192521201,104090404,107529148,0.4154763153329404,0.1382882462621789,4.54,3.182926390629112,0.02,0.1414213562373094,6796863,5266182,314707,229329,0,0,0,0,0.22,1.5556349186104046,0.2,1.414213562373096,0,0,0.18,0.38808793449160356,0,3,1.8018575851393186,8.351920113411419
org.apache.commons.imaging.formats.webp.WebPReadTest,79.2,32.53820360557035,21,13,17.91697670519352,6.24619248415992,1.0246346429921687,0.35193918382364764,136168079,74785256,58823927,45177243,0.38948749250856407,0.12140413342516573,0.74,1.2257442553778652,0.0,0.0,4978962,7016358,164646,215370,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.02,0.14142135623730948,0,5,0.803921568627451,5.6845839271859715
org.apache.commons.imaging.formats.jpeg.decoder.JpegDecoderTest,62.46,55.15736670691248,22,42,16.751806989312172,5.174590068405267,0.8890878719976172,0.22381439991545235,198453493,225954690,82558014,106392553,0.3623479063519132,0.1035407783451813,0.32,0.7125693664765668,0.0,0.0,47281,135433,29645,55120,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.12,0.3854496446637728,0,1,0.360365123851044,1.109176023968857
org.apache.commons.imaging.palette.PaletteQuantizationTest,123.0,32.95637190255614,23,24,20.384730502963066,5.616616381154442,0.9918804322369397,0.47141213074242927,229365514,176433662,101766142,87244199,0.4233930313066846,0.1076439301499743,3.82,3.826278631159174,0.02,0.14142135623730948,173813,464541,52450,54930,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.1,1.1994896874104763,2,7,2.6436423446353934,7.810175496960712
org.apache.commons.imaging.formats.psd.PsdReadTest,84.2,34.27023460077034,26,13,18.014728218317032,5.609150623251969,0.9776211453136057,0.2305494018782362,164049715,122771987,63481613,64864693,0.3505620878900889,0.10436876024899407,2.68,5.747901125362084,0.02,0.1414213562373094,6559037,8603320,16833,30235,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.3030457633656631,1,6,2.456845220934479,9.541719457118925
org.apache.commons.imaging.common.RationalNumberTest,70.8,41.131446830464725,26,14,16.15931076556444,5.24268558806477,0.8788441859651357,0.20821515364047347,150093168,130225011,63513439,80309466,0.3477995545180745,0.10775805869578256,1.12,2.4381324401923603,0.0,0.0,290,1735,444030,922159,0,0,0,0,0.22,1.5556349186104046,0.2,1.414213562373097,0,0,0.04,0.1979486637221575,0,0,0.1,0.7071067811865476
